name,position,GP,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g
League Average,,,,,.467,,,.360,,,.781,,,,,,
Jahmir Young,PG,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0
P.J. Tucker,SF,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Terry Taylor,PF,3,0.0,0.3,.000,0.0,0.0,,0.0,0.0,,0.3,0.7,0.0,0.0,0.0,0.0
Zyon Pullin,SG,3,0.0,0.3,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Jahlil Okafor,C,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0
Miles Norris,PF,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
Riley Minix,SF,1,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
Emanuel Miller,PF,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Jalen McDaniels,SF,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0
Mac McClung,SG,2,0.0,1.0,.000,0.0,0.5,.000,0.0,0.0,,0.5,1.5,0.0,0.0,0.0,0.0
Bobi Klintman,SF,6,0.0,0.3,.000,0.0,0.2,.000,0.0,0.0,,0.7,0.2,0.0,0.2,0.2,0.0
Daniss Jenkins,PG,5,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0
Jesse Edwards,C,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0
Justin Minaya,SF,11,0.1,0.4,.250,0.0,0.2,.000,0.0,0.0,,0.4,0.2,0.1,0.0,0.0,0.2
Daishen Nix,PG,3,0.0,0.3,.000,0.0,0.3,.000,0.3,0.7,.500,1.3,1.0,0.0,0.0,1.3,0.3
Malevy Leons,SF,6,0.0,0.3,.000,0.0,0.2,.000,0.3,0.7,.500,0.5,0.2,0.0,0.0,0.2,0.3
Jacob Toppin,SF,16,0.2,0.6,.300,0.0,0.1,.000,0.0,0.0,,0.7,0.3,0.1,0.0,0.1,0.4
Tristen Newton,SG,3,0.0,0.7,.000,0.0,0.0,,0.0,0.0,,1.3,0.3,0.3,0.0,0.3,0.0
Tristen Newton,SG,5,0.2,1.2,.167,0.0,0.6,.000,0.2,0.2,1.000,0.0,0.2,0.0,0.0,0.2,0.6
Tristen Newton,SG,8,0.1,1.0,.125,0.0,0.4,.000,0.1,0.1,1.000,0.5,0.3,0.1,0.0,0.3,0.4
Stanley Umude,SG,20,0.2,1.2,.174,0.1,0.7,.154,0.1,0.2,.500,0.8,0.2,0.2,0.2,0.1,0.6
Cui Yongxi,SG,5,0.2,1.4,.143,0.0,0.6,.000,0.2,0.4,.500,0.4,0.0,0.0,0.0,0.0,0.6
Liam Robbins,C,13,0.2,0.6,.250,0.0,0.2,.000,0.4,0.8,.500,0.9,0.2,0.2,0.2,0.5,0.7
James Johnson,PF,12,0.3,0.9,.364,0.0,0.3,.000,0.0,0.1,.000,0.5,0.3,0.0,0.2,0.3,0.7
Harrison Ingram,SF,3,0.3,1.0,.333,0.0,0.3,.000,0.0,0.0,,1.7,0.3,0.3,0.0,0.0,0.7
Ulrich Chomche,PF,7,0.3,0.7,.400,0.0,0.0,,0.1,0.3,.500,1.1,0.3,0.0,0.1,0.3,0.7
Joe Ingles,SF,19,0.3,1.2,.261,0.2,0.8,.200,0.0,0.0,,0.6,1.2,0.1,0.0,0.5,0.8
PJ Dozier,SG,9,0.2,0.3,.667,0.2,0.3,.667,0.1,0.7,.167,0.6,0.6,0.1,0.0,0.1,0.8
Josh Christopher,SG,8,0.3,0.9,.286,0.0,0.1,.000,0.3,0.5,.500,0.4,0.5,0.0,0.1,0.5,0.8
D.J. Carton,SG,4,0.3,1.8,.143,0.0,0.8,.000,0.3,0.3,1.000,1.0,0.8,0.5,0.0,1.0,0.8
Jalen Bridges,SF,5,0.2,0.8,.250,0.2,0.8,.250,0.2,0.4,.500,0.6,0.0,0.0,0.0,0.8,0.8
Luke Travers,SG,9,0.3,1.2,.273,0.0,0.4,.000,0.2,0.2,1.000,1.3,0.6,0.1,0.1,0.6,0.9
RayJ Dennis,PG,8,0.3,1.3,.200,0.1,0.9,.143,0.3,0.3,1.000,0.8,0.6,0.4,0.0,0.5,0.9
Isaiah Crawford,SF,14,0.4,0.7,.500,0.1,0.4,.200,0.1,0.3,.500,0.6,0.1,0.1,0.1,0.1,0.9
Emoni Bates,SF,7,0.3,2.0,.143,0.3,1.6,.182,0.0,0.0,,0.0,0.6,0.1,0.0,0.0,0.9
Xavier Tillman Sr.,C,29,0.4,1.6,.261,0.2,0.9,.185,0.0,0.1,.500,1.3,0.2,0.3,0.2,0.4,1.0
